Year,Travel,Transportation,Software Services,Business Services,Other Services
2001,3496999936,2046000000,,,10725000192
2002,3136999936,2160999936,,,11841999872
2003,3312000000,2536000000,,,14915000320
2004,5037000192,3207000064,,,18624000000
2005,6665999872,4682999808,17699999744,5167000064,9032999936
2006,7853000192,6325000192,23600001024,9306999808,10574000128
2007,9123000320,7974000128,31299999744,14544000000,10839000064
2008,11349000192,10014000128,40299999232,16771999744,11907000320
2009,10894141440,11310466048,46300000256,18602424320,18855915520
2010,11859295232,11177532416,49705398272,11321424896,11981402112
2011,15793486848,14245908480,53099986944,24049809408,17446320128
2012,18461538304,18240546816,62212378624,25909893120,17500465152
2013,17999267840,17333516288,65867399168,28447182848,16030643200
2014,17921669120,17380014080,69483495424,28482289664,18545543168
2015,20334282752,17485232128,73108152320,28421861376,18757955584
2016,21268039680,14003957760,74153107456,28994015232,15892030464
2017,23243683840,15851376640,74350133248,32945987584,17805432832
2018,28355262464,17441335296,77325737984,37345533952,34620981248
2019,28440926208,19464425472,83465797632,39111798784,37517467648
2020,29998084096,20988033024,93102202880,45715505152,23387185152
2021,8483461632,21854142464,99997294592,49161023488,26593822720
2022,9099487232,32659951616,122093133824,58966630400,31707508736
2023,27048732672,36091351040,146774999040,80349741056,35063869440
2024,33704468480,29184944128,160333398016,88569683968,29271666688
