Year,Exports,Imports
1991,22696.2,27643.5
1992,22887.4,23225.5
1993,23267.2,25482.6
1994,27502.3,28036.2
1995,32465.5,34187.3
1996,39138.9,44219.3
1997,40943.7,45880.4
1998,44435.5,49594.5
1999,46404.7,53409.7
2000,52531.4,61315.7
2001,60779.0,65130.4
2002,60937.2,65244.5
2003,73458.4,78386.2
2004,90846.5,94974.5
2005,127001.0,139563.0
2006,160703.3,183672.9
2007,200194.1,239119.9
2008,253474.2,303143.9
2009,291258.3,355743.2
2010,274796.5,348402.3
2011,374451.1,450324.0
2012,448288.7,567546.7
2013,446078.6,571500.0
2014,466228.8,528961.0
2015,468459.5,529611.7
2016,416602.3,465642.4
2017,440049.0,480209.0
2018,498615.0,583107.9
2019,538078.5,640137.9
2020,526552.1,602978.3
2021,497898.2,511960.3
2022,676531.1,760063.1
2023,776398.7,898014.9
2024,778136.2,856513.3
