Country,Direction,Trade value ($ Million)
Bangladesh,Exports,11066
China,Exports,16659
China,Imports,101736
Germany,Exports,9840
Indonesia,Imports,23411
Iraq,Imports,29961
Italy,Exports,8766
Netherlands,Exports,22367
Russia,Imports,61159
Saudi Arabia,Exports,11559
Saudi Arabia,Imports,31416
Singapore,Exports,14414
Singapore,Imports,21199
South Korea,Imports,21135
Switzerland,Imports,21248
UAE,Exports,35625
UAE,Imports,48026
UK,Exports,12923
US,Exports,77515
US,Imports,42195
