Year,Dimension,Trade value (In Millions)
1971,Goods,2162
1972,Goods,2442
1973,Goods,2433
1974,Goods,3793
1975,Goods,5691
1976,Goods,6064
1977,Goods,5652
1978,Goods,7012
1979,Goods,8279
1980,Goods,11291
1981,Goods,15867
1982,Goods,15173
1983,Goods,14787
1984,Goods,15311
1985,Goods,14412
1986,Goods,16067
1987,Goods,15727
1988,Goods,17156
1989,Goods,19497
1990,Goods,21219
1991,Goods,24073
1991,Services,3571
1992,Goods,19411
1992,Services,3815
1993,Goods,21882
1993,Services,3601
1994,Goods,23306
1994,Services,4730
1995,Goods,28654
1995,Services,5533
1996,Goods,36675
1996,Services,7544
1997,Goods,39132
1997,Services,6748
1998,Goods,41485
1998,Services,8110
1999,Goods,42389
1999,Services,11021
2000,Goods,49671
2000,Services,11645
2001,Goods,50554
2001,Services,14576
2002,Goods,51429
2002,Services,13816
2003,Goods,61266
2003,Services,17120
2004,Goods,78250
2004,Services,16724
2005,Goods,111740
2005,Services,27823
2006,Goods,149184
2006,Services,34489
2007,Goods,194809
2007,Services,44311
2008,Goods,251654
2008,Services,51490
2009,Goods,303696
2009,Services,52047
2010,Goods,288373
2010,Services,60029
2011,Goods,369769
2011,Services,80555
2012,Goods,489320
2012,Services,78227
2013,Goods,490737
2013,Services,80763
2014,Goods,450214
2014,Services,78747
2015,Goods,448033
2015,Services,81578
2016,Goods,381008
2016,Services,84635
2017,Goods,384357
2017,Services,95852
2018,Goods,465581
2018,Services,117527
2019,Goods,514078
2019,Services,126060
2020,Goods,474709
2020,Services,128269
2021,Goods,394436
2021,Services,117524
2022,Goods,613052
2022,Services,147011
2023,Goods,715969
2023,Services,182046
2024,Goods,678215
2024,Services,178298
